pos	ref	alt	gene	N/S	AA	nSRAsubclonal	nSRAclonal	nSRA	nConsensus	strain0	strain1	strain2	strain3	strain4
1	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
2	A	T	ORF	S	NULL	0	0	0	0	0.0001	1.00002	0.0001	0.0001	0.0001
3	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.999952	0.999929
4	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
5	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
6	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
7	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.999931	0.999957
8	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
9	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
10	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
11	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
12	A	T	ORF	S	NULL	0	0	0	0	0.999785	0.0001	0.0001	0.0001	0.999964
13	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
14	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
15	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
16	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.999978	0.99993
17	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.999977	0.0001	0.0001
18	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.999962	0.0001	0.0001	0.0001
19	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
20	A	T	ORF	S	NULL	0	0	0	0	0.999806	0.0001	0.0001	0.0001	0.0001
21	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
22	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
23	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
24	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
25	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
26	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
27	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
28	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
29	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	1.00003
30	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
31	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
32	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
33	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.997347	0.0001	0.0001
34	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
35	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
36	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
37	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
38	A	T	ORF	S	NULL	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0001
39	A	T	ORF	S	NULL	0	0	0	0	1.00023	0.000104962	0.0889231	0.0001	0.0001
