pos	ref	alt	gene	N/S	AA	nSRAsubclonal	nSRAclonal	nSRA	nConsensus	sample0|Earth	sample1|Earth	sample2|Earth	sample3|Earth	sample4|Earth	sample5|Earth	sample6|Earth	sample7|Earth	sample8|Earth	sample9|Earth	sample10|Earth	sample11|Earth	sample12|Earth	sample13|Earth	sample14|Earth	sample15|Earth	sample16|Earth	sample17|Earth	sample18|Earth	sample19|Earth	sample20|Earth	sample21|Earth	sample22|Earth	sample23|Earth	sample24|Earth	sample25|Earth	sample26|Earth	sample27|Earth	sample28|Earth	sample29|Earth	sample30|Earth	sample31|Earth	sample32|Earth	sample33|Earth	sample34|Earth	sample35|Earth	sample36|Earth	sample37|Earth	sample38|Earth	sample39|Earth	sample40|Earth	sample41|Earth	sample42|Earth	sample43|Earth	sample44|Earth	sample45|Earth	sample46|Earth	sample47|Earth	sample48|Earth	sample49|Earth
1	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0.332231	0	0	0.838877	0	0.271316	0	0	0.361226	0	0	0.144828	0	0.0885941	0	0.187567	0	0	0	0	1	0	0.705112	0.805699	0	0	0	0	0.678234	0	0.163243	0	0	0.673306	0	0.0826184	0	0	0	0	0	0.627896	0
3	A	T	ORF	S	NULL	0	0	0	0	0	0.905347	0	0	0.524502	0	1	0	0	0	0.161123	0	0.524975	0	0	0.237709	1	0.712786	0.411765	0	0	0	0	0.0431698	0	0	0	0	0.0267317	0	0.194301	0	0	0	0	0	0	0	0	0	0	0	0.181092	0	0	0	0	0	0	0
4	A	T	ORF	S	NULL	0	0	0	0	0.589395	0	0.319666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.185542	0	0.578049	0.475708	0.740231	0	0	0	0	0	0	0.538597	0	0	0	0	0	0	0	0.965	0.0295765	0	0.698368	0	0.024043	0.464734	0	0.071047	0.812945	0	0.783088	0	0
5	A	T	ORF	S	NULL	0	0	0	0	0	0.905347	0	0	0.524502	0	1	0	0	0	0.161123	0	0.524975	0	0	0.237709	1	0.712786	0.411765	0	0	0	0	0.0431698	0	0	0	0	0.0267317	0	0.194301	0	0	0	0	0	0	0	0	0	0	0	0.181092	0	0	0	0	0	0	0
6	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0.332231	0	0	0.838877	0	0.271316	0	0	0.361226	0	0	0.144828	0	0.0885941	0	0.187567	0	0	0	0	1	0	0.705112	0.805699	0	0	0	0	0.678234	0	0.163243	0	0	0.673306	0	0.0826184	0	0	0	0	0	0.627896	0
7	A	T	ORF	S	NULL	0	0	0	0	0	0.0946527	0.680334	0	0.0122982	0.85137	0	0	0.0970289	0.410145	0	0.373091	0	1	0.642898	0	0	0.101672	0	0	0.016597	0	0	0	0	0	0	0	0	0	0	0	0	0	0.473564	0	0	0.684762	0	0	0	0.033476	0.271555	0	0	0.187055	0	0	0	0
8	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	A	T	ORF	S	NULL	0	0	0	0	0.171201	0	0	1	0.463199	0	0	0	0	0.250829	0	0	0	0	0	0.401065	0	0	0.404021	0.233007	0	0	0.634543	0.196919	0	0.353306	0.600553	0	0	0	0	0.808	0	0.00966933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0.0309427	0.902971	0	0	0	0	0	0	0	0	0	0	0	0.178262	0	0	0	0	0	0	0	0.135546	0	0	0	0.449613	0	0	0.134872	0.0350005	0.000398506	0	0	0	0	0	0.501647	0.376767	0	0	0	0	0
16	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	A	T	ORF	S	NULL	0	0	0	0	0.171201	0	0	1	0.463199	0	0	0	0	0.250829	0	0	0	0	0	0.401065	0	0	0.404021	0.233007	0	0	0.634543	0.196919	0	0.353306	0.600553	0	0	0	0	0.808	0	0.00966933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	A	T	ORF	S	NULL	0	0	0	0	0	0.0946527	0.680334	0	0.0122982	0.85137	0	0.0309427	1	0.410145	0	0.373091	0	1	0.642898	0	0	0.101672	0	0	0.194859	0	0	0	0	0	0	0	0.135546	0	0	0	0.449613	0	0.473564	0.134872	0.0350005	0.68516	0	0	0	0.033476	0.271555	0.501647	0.376767	0.187055	0	0	0	0
19	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	A	T	ORF	S	NULL	0	0	0	0	0	0.0946527	0.680334	0	0.0122982	0.85137	0	0	0.0970289	0.719762	0	0.373091	0	1	1	0	0	0.101672	0	0	0.016597	0	0.17789	0	0	0	0	0	0	0	0	0.0624551	0	0	0.473564	0	0	0.806782	0	0	0.139787	0.033476	0.271555	0	0.12818	0.187055	1	0.144864	0	0.209275
21	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0.080419	0	0.0294097	0	0	0	0	0	0	0	0	0	0.086379	0.122349	0	0	0.577933	1	0.419424	0.399447	0	0	0	0	0	0	0	0	0	0	0	0.764872	0	0	0	0	0.184128	0.172344	0	0	0.0720474	0	0.790725
23	A	T	ORF	S	NULL	0	0	0	0	0.828799	0	0.319666	0	0	0.103034	0	0.204529	0	0.0294097	0	0	0.203708	0	0	0	0	0.185542	0	0.664428	0.598057	1	0	0.577933	1	0.419424	0.399447	0	0.837722	0.0431884	0	0.101718	0.550387	0.990331	0	0.186894	0.965	0.0295765	0.764872	0.698368	0.186907	0.966524	0.464734	0.498353	0.28207	0.812945	0	0.855136	0	0.790725
24	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0.0309427	0.902971	0	0	0	0	0	0	0	0	0	0	0	0.178262	0	0	0	0	0	0	0	0.135546	0	0	0	0.449613	0	0	0.134872	0.0350005	0.000398506	0	0	0	0	0	0.501647	0.376767	0	0	0	0	0
